Complexity,Loss,Equation
1,2.591565645510532,"0.6573547687015463"
2,2.124629304685571,"cos(x4)"
4,1.6472427783782375,"cos(x4 / x1)"
6,1.6171974017897006,"cos(x4 / (x1 / -0.8356129928664634))"
8,1.5630199161612572,"(cos(x4 / (x1 / -0.8313947733593885)) + -0.23421904840944327)"
9,1.5480148560172604,"cos(cos((x4 - x1) + 1.077497941137949) - x4)"
